Ticker,Company Name,Exchange ,Sector,Industry,CEO,Issue Type
WUBA,58.com Inc. American Depositary Shares each representing 2 Class A,New York Stock Exchange,Technology,Online Media,Jinbo Yao,cs
EGHT,8x8 Inc,New York Stock Exchange,Communication Services,Communication Services,Vikram Verma,cs
AHC,A.H. Belo Corporation,New York Stock Exchange,Consumer Cyclical,Publishing,James M. Moroney,cs
ATEN,A10 Networks Inc.,New York Stock Exchange,Technology,Application Software,,cs
AAC,AAC Holdings Inc.,New York Stock Exchange,Healthcare,Health Care Providers,Michael T. Cartwright,cs
AIR,AAR Corp.,New York Stock Exchange,Industrials,Aerospace & Defense,David P. Storch,cs
AAN,Aaron's Inc.,New York Stock Exchange,Industrials,Consulting & Outsourcing,John W. Robinson,cs
ABB,ABB Ltd,New York Stock Exchange,Industrials,Industrial Products,Ulrich Spiesshofer,cs
ABT,Abbott Laboratories,New York Stock Exchange,Healthcare,Medical Devices,Miles D. White,cs
ABBV,AbbVie Inc.,New York Stock Exchange,Healthcare,Drug Manufacturers,Richard A. Gonzalez,cs
ANF,Abercrombie & Fitch Company,New York Stock Exchange,Consumer Cyclical,Retail - Apparel & Specialty,Fran Horowitz-Bonadies,cs
AGD,Aberdeen Global Dynamic Dividend Fund,New York Stock Exchange,Financial Services,Asset Management,,cs
AWP,Aberdeen Global Premier Properties Fund of Beneficial Interest,New York Stock Exchange,Financial Services,Asset Management,,cs
ACP,Aberdeen Income Credit Strategies Fund,New York Stock Exchange,Financial Services,Asset Management,Randolph Takian,cs
JEQ,Aberdeen Japan Equity Fund Inc.,New York Stock Exchange,Financial Services,Asset Management,Alan Goodson,cs
AOD,Aberdeen Total Dynamic Dividend Fund,New York Stock Exchange,Financial Services,Asset Management,,cs
ABM,ABM Industries Incorporated,New York Stock Exchange,Industrials,Business Services,Scott B. Salmirs,cs
AKR,Acadia Realty Trust,New York Stock Exchange,Real Estate,REITs,Kenneth F. Bernstein,cs
ACN,Accenture plc Class A (Ireland),New York Stock Exchange,Technology,Application Software,,cs
ACCO,Acco Brands Corporation,New York Stock Exchange,Industrials,Industrial Products,Boris Elisman,cs
ATV,Acorn International Inc. ADS,New York Stock Exchange,Consumer Cyclical,Retail - Apparel & Specialty,Jacob A. Fisch,cs
ATU,Actuant Corporation,New York Stock Exchange,Industrials,Industrial Products,,cs
AYI,Acuity Brands Inc (Holding Company),New York Stock Exchange,Technology,Computer Hardware,Vernon J. Nagel,cs
GOLF,Acushnet Holdings Corp.,New York Stock Exchange,Consumer Cyclical,Travel & Leisure,David Maher,cs
ADX,Adams Diversified Equity Fund Inc.,New York Stock Exchange,Financial Services,Asset Management,Mark E. Stoeckle,cs
PEO,Adams Natural Resources Fund Inc.,New York Stock Exchange,Financial Services,Asset Management,Mark E. Stoeckle,cs
AGRO,Adecoagro S.A.,New York Stock Exchange,Consumer Defensive,Consumer Packaged Goods,Mariano Bosch,cs
ADNT,Adient plc,New York Stock Exchange,Consumer Cyclical,Autos,Frederick A. Henderson,cs
ADT,ADT Inc.,New York Stock Exchange,Industrials,Consulting & Outsourcing,Timothy J. Whall,cs
ATGE,Adtalem Global Education Inc.,New York Stock Exchange,Consumer Defensive,Education,,cs
AAP,Advance Auto Parts Inc W/I,New York Stock Exchange,Consumer Cyclical,Retail - Apparel & Specialty,Thomas R. Greco,cs
ADSW,Advanced Disposal Services Inc.,New York Stock Exchange,Industrials,Waste Management,Richard Burke,cs
WMS,Advanced Drainage Systems Inc.,New York Stock Exchange,Consumer Cyclical,Autos,,cs
ASIX,AdvanSix Inc.,New York Stock Exchange,Basic Materials,Chemicals,Erin N. Kane,cs
AAV,Advantage Oil & Gas Ltd,New York Stock Exchange,Energy,Oil & Gas - E&P,Andy J. Mah,cs
AVK,Advent Claymore Convertible Securities and Income Fund,New York Stock Exchange,Financial Services,Asset Management,Tracy V. Maitland,cs
AGC,Advent Claymore Convertible Securities and Income Fund of Beneficial Interest,New York Stock Exchange,Financial Services,Asset Management,Tracy V. Maitland,cs
LCM,Advent/Claymore Enhanced Growth & Income Fund of Beneficial Interest,New York Stock Exchange,Financial Services,Asset Management,Tracy V. Maitland,cs
ACM,AECOM,New York Stock Exchange,Industrials,Engineering & Construction,Michael S. Burke,cs
ANW,Aegean Marine Petroleum Network Inc.,New York Stock Exchange,Energy,Oil & Gas - Integrated,E. Nikolas Tavlarios,cs
AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),New York Stock Exchange,Financial Services,Insurance,Alexander R Wynaendts,bo
AED,AEGON N.V. Perp. Cap. Securities (Netherlands),New York Stock Exchange,Financial Services,Insurance,Alexander R Wynaendts,bo
AEG,AEGON N.V.,New York Stock Exchange,Financial Services,Insurance,Alexander R Wynaendts,cs
AEH,AEGON N.V. Perp. Cap Secs.,New York Stock Exchange,Financial Services,Insurance,Alexander R Wynaendts,bo
AER,Aercap Holdings N.V.,New York Stock Exchange,Industrials,Transportation & Logistics,Aengus Kelly,cs
HIVE,Aerohive Networks Inc.,New York Stock Exchange,Technology,Communication Equipment,David K. Flynn,cs
AJRD,Aerojet Rocketdyne Holdings Inc.,New York Stock Exchange,Industrials,Aerospace & Defense,Eileen Drake,cs
AET,Aetna Inc.,New York Stock Exchange,Healthcare,Health Care Plans,Mark T. Bertolini,cs
AMG,Affiliated Managers Group Inc.,New York Stock Exchange,Financial Services,Asset Management,Nathaniel Dalton,cs
AFL,AFLAC Incorporated,New York Stock Exchange,Financial Services,Insurance - Life,Daniel P. Amos,cs
MITT,AG Mortgage Investment Trust Inc.,New York Stock Exchange,Real Estate,REITs,David N. Roberts,cs
AGCO,AGCO Corporation,New York Stock Exchange,Industrials,Farm & Construction Machinery,Martin H. Richenhagen,cs
A,Agilent Technologies Inc.,New York Stock Exchange,Healthcare,Medical Diagnostics & Research,Michael R. McMullen,cs
AEM,Agnico Eagle Mines Limited,New York Stock Exchange,Basic Materials,Metals & Mining,Sean Boyd,cs
ADC,Agree Realty Corporation,New York Stock Exchange,Real Estate,REITs,Joel N. Agree,cs
AL,Air Lease Corporation Class A,New York Stock Exchange,Industrials,Consulting & Outsourcing,John L. Plueger,cs
APD,Air Products and Chemicals Inc.,New York Stock Exchange,Basic Materials,Chemicals,,cs
AYR,Aircastle Limited,New York Stock Exchange,Industrials,Consulting & Outsourcing,Michael Inglese,cs
AKS,AK Steel Holding Corporation,New York Stock Exchange,Basic Materials,Steel,Roger K. Newport,cs
ALG,Alamo Group Inc.,New York Stock Exchange,Industrials,Farm & Construction Machinery,Ronald A. Robinson,cs
AGI,Alamos Gold Inc. Class A,New York Stock Exchange,Basic Materials,Metals & Mining,John Mccluskey,cs
